image,variant,flow_threshold,cellprob_threshold,cell_count,diameter_estimate
CP HEK293 (10),E_clahe_denoise,0.3,0.0,352,-1
CP HEK293 (10),E_clahe_denoise,0.3,1.0,303,-1
CP HEK293 (10),E_clahe_denoise,0.3,2.0,235,-1
CP HEK293 (10),E_clahe_denoise,0.4,-3.0,229,-1
CP HEK293 (10),E_clahe_denoise,0.4,-2.0,319,-1
CP HEK293 (10),E_clahe_denoise,0.4,-1.0,373,-1
CP HEK293 (10),E_clahe_denoise,0.4,0.0,376,-1
CP HEK293 (10),E_clahe_denoise,0.4,1.0,317,-1
CP HEK293 (10),E_clahe_denoise,0.4,2.0,244,-1
CP HEK293 (10),E_clahe_denoise,0.5,-3.0,316,-1
CP HEK293 (10),E_clahe_denoise,0.5,-2.0,380,-1
CP HEK293 (10),E_clahe_denoise,0.5,-1.0,420,-1
CP HEK293 (10),E_clahe_denoise,0.5,0.0,389,-1
CP HEK293 (10),E_clahe_denoise,0.5,1.0,325,-1
CP HEK293 (10),E_clahe_denoise,0.5,2.0,246,-1
CP HEK293 (10),E_clahe_denoise,0.6,-3.0,384,-1
CP HEK293 (10),E_clahe_denoise,0.6,-2.0,431,-1
CP HEK293 (10),E_clahe_denoise,0.6,-1.0,444,-1
CP HEK293 (10),E_clahe_denoise,0.6,0.0,394,-1
CP HEK293 (10),E_clahe_denoise,0.6,1.0,329,-1
CP HEK293 (10),E_clahe_denoise,0.6,2.0,248,-1
CP HEK293 (10),E_clahe_denoise,0.7,-3.0,446,-1
CP HEK293 (10),E_clahe_denoise,0.7,-2.0,467,-1
CP HEK293 (10),E_clahe_denoise,0.7,-1.0,463,-1
CP HEK293 (10),E_clahe_denoise,0.7,0.0,400,-1
CP HEK293 (10),E_clahe_denoise,0.7,1.0,332,-1
CP HEK293 (10),E_clahe_denoise,0.7,2.0,249,-1
CP HEK293 (10),E_clahe_denoise,0.8,-3.0,484,-1
CP HEK293 (10),E_clahe_denoise,0.8,-2.0,498,-1
CP HEK293 (10),E_clahe_denoise,0.8,-1.0,469,-1
CP HEK293 (10),E_clahe_denoise,0.8,0.0,404,-1
CP HEK293 (10),E_clahe_denoise,0.8,1.0,334,-1
CP HEK293 (10),E_clahe_denoise,0.8,2.0,250,-1
CP HEK293 (10),E_clahe_denoise,0.9,-3.0,531,-1
CP HEK293 (10),E_clahe_denoise,0.9,-2.0,518,-1
CP HEK293 (10),E_clahe_denoise,0.9,-1.0,473,-1
CP HEK293 (10),E_clahe_denoise,0.9,0.0,407,-1
CP HEK293 (10),E_clahe_denoise,0.9,1.0,336,-1
CP HEK293 (10),E_clahe_denoise,0.9,2.0,250,-1
CP HEK293 (10),E_clahe_denoise,1.0,-3.0,591,-1
CP HEK293 (10),E_clahe_denoise,1.0,-2.0,532,-1
CP HEK293 (10),E_clahe_denoise,1.0,-1.0,475,-1
CP HEK293 (10),E_clahe_denoise,1.0,0.0,407,-1
CP HEK293 (10),E_clahe_denoise,1.0,1.0,337,-1
CP HEK293 (10),E_clahe_denoise,1.0,2.0,250,-1
CP HEK293 (10),F_rolling_ball,0.2,-3.0,1,-1
CP HEK293 (10),F_rolling_ball,0.2,-2.0,23,-1
CP HEK293 (10),F_rolling_ball,0.2,-1.0,183,-1
CP HEK293 (10),F_rolling_ball,0.2,0.0,248,-1
CP HEK293 (10),F_rolling_ball,0.2,1.0,245,-1
CP HEK293 (10),F_rolling_ball,0.2,2.0,193,-1
CP HEK293 (10),F_rolling_ball,0.3,-3.0,25,-1
CP HEK293 (10),F_rolling_ball,0.3,-2.0,173,-1
CP HEK293 (10),F_rolling_ball,0.3,-1.0,267,-1
CP HEK293 (10),F_rolling_ball,0.3,0.0,320,-1
CP HEK293 (10),F_rolling_ball,0.3,1.0,266,-1
CP HEK293 (10),F_rolling_ball,0.3,2.0,211,-1
CP HEK293 (10),F_rolling_ball,0.4,-3.0,158,-1
CP HEK293 (10),F_rolling_ball,0.4,-2.0,275,-1
CP HEK293 (10),F_rolling_ball,0.4,-1.0,340,-1
CP HEK293 (10),F_rolling_ball,0.4,0.0,352,-1
CP HEK293 (10),F_rolling_ball,0.4,1.0,278,-1
CP HEK293 (10),F_rolling_ball,0.4,2.0,218,-1
CP HEK293 (10),F_rolling_ball,0.5,-3.0,265,-1
CP HEK293 (10),F_rolling_ball,0.5,-2.0,344,-1
CP HEK293 (10),F_rolling_ball,0.5,-1.0,393,-1
CP HEK293 (10),F_rolling_ball,0.5,0.0,367,-1
CP HEK293 (10),F_rolling_ball,0.5,1.0,287,-1
CP HEK293 (10),F_rolling_ball,0.5,2.0,221,-1
CP HEK293 (10),F_rolling_ball,0.6,-3.0,349,-1
CP HEK293 (10),F_rolling_ball,0.6,-2.0,395,-1
CP HEK293 (10),F_rolling_ball,0.6,-1.0,420,-1
CP HEK293 (10),F_rolling_ball,0.6,0.0,379,-1
CP HEK293 (10),F_rolling_ball,0.6,1.0,294,-1
CP HEK293 (10),F_rolling_ball,0.6,2.0,221,-1
CP HEK293 (10),F_rolling_ball,0.7,-3.0,407,-1
CP HEK293 (10),F_rolling_ball,0.7,-2.0,446,-1
CP HEK293 (10),F_rolling_ball,0.7,-1.0,446,-1
CP HEK293 (10),F_rolling_ball,0.7,0.0,390,-1
CP HEK293 (10),F_rolling_ball,0.7,1.0,300,-1
CP HEK293 (10),F_rolling_ball,0.7,2.0,229,-1
CP HEK293 (10),F_rolling_ball,0.8,-3.0,465,-1
CP HEK293 (10),F_rolling_ball,0.8,-2.0,480,-1
CP HEK293 (10),F_rolling_ball,0.8,-1.0,456,-1
CP HEK293 (10),F_rolling_ball,0.8,0.0,392,-1
CP HEK293 (10),F_rolling_ball,0.8,1.0,303,-1
CP HEK293 (10),F_rolling_ball,0.8,2.0,230,-1
CP HEK293 (10),F_rolling_ball,0.9,-3.0,530,-1
CP HEK293 (10),F_rolling_ball,0.9,-2.0,514,-1
CP HEK293 (10),F_rolling_ball,0.9,-1.0,463,-1
CP HEK293 (10),F_rolling_ball,0.9,0.0,394,-1
CP HEK293 (10),F_rolling_ball,0.9,1.0,303,-1
CP HEK293 (10),F_rolling_ball,0.9,2.0,230,-1
CP HEK293 (10),F_rolling_ball,1.0,-3.0,604,-1
CP HEK293 (10),F_rolling_ball,1.0,-2.0,528,-1
CP HEK293 (10),F_rolling_ball,1.0,-1.0,466,-1
CP HEK293 (10),F_rolling_ball,1.0,0.0,396,-1
CP HEK293 (10),F_rolling_ball,1.0,1.0,304,-1
CP HEK293 (10),F_rolling_ball,1.0,2.0,233,-1
CP HEK293 (10),G_rolling_ball_clahe,0.2,-3.0,6,-1
CP HEK293 (10),G_rolling_ball_clahe,0.2,-2.0,85,-1
CP HEK293 (10),G_rolling_ball_clahe,0.2,-1.0,220,-1
CP HEK293 (10),G_rolling_ball_clahe,0.2,0.0,290,-1
CP HEK293 (10),G_rolling_ball_clahe,0.2,1.0,273,-1
CP HEK293 (10),G_rolling_ball_clahe,0.2,2.0,203,-1
CP HEK293 (10),G_rolling_ball_clahe,0.3,-3.0,99,-1
CP HEK293 (10),G_rolling_ball_clahe,0.3,-2.0,225,-1
CP HEK293 (10),G_rolling_ball_clahe,0.3,-1.0,319,-1
CP HEK293 (10),G_rolling_ball_clahe,0.3,0.0,354,-1
CP HEK293 (10),G_rolling_ball_clahe,0.3,1.0,297,-1
CP HEK293 (10),G_rolling_ball_clahe,0.3,2.0,214,-1
CP HEK293 (10),G_rolling_ball_clahe,0.4,-3.0,233,-1
CP HEK293 (10),G_rolling_ball_clahe,0.4,-2.0,327,-1
CP HEK293 (10),G_rolling_ball_clahe,0.4,-1.0,389,-1
CP HEK293 (10),G_rolling_ball_clahe,0.4,0.0,389,-1
CP HEK293 (10),G_rolling_ball_clahe,0.4,1.0,308,-1
CP HEK293 (10),G_rolling_ball_clahe,0.4,2.0,221,-1
CP HEK293 (10),G_rolling_ball_clahe,0.5,-3.0,343,-1
CP HEK293 (10),G_rolling_ball_clahe,0.5,-2.0,395,-1
CP HEK293 (10),G_rolling_ball_clahe,0.5,-1.0,436,-1
CP HEK293 (10),G_rolling_ball_clahe,0.5,0.0,404,-1
CP HEK293 (10),G_rolling_ball_clahe,0.5,1.0,312,-1
CP HEK293 (10),G_rolling_ball_clahe,0.5,2.0,230,-1
CP HEK293 (10),G_rolling_ball_clahe,0.6,-3.0,404,-1
CP HEK293 (10),G_rolling_ball_clahe,0.6,-2.0,441,-1
CP HEK293 (10),G_rolling_ball_clahe,0.6,-1.0,463,-1
CP HEK293 (10),G_rolling_ball_clahe,0.6,0.0,419,-1
CP HEK293 (10),G_rolling_ball_clahe,0.6,1.0,315,-1
CP HEK293 (10),G_rolling_ball_clahe,0.6,2.0,236,-1
CP HEK293 (10),G_rolling_ball_clahe,0.7,-3.0,458,-1
CP HEK293 (10),G_rolling_ball_clahe,0.7,-2.0,482,-1
CP HEK293 (10),G_rolling_ball_clahe,0.7,-1.0,477,-1
CP HEK293 (10),G_rolling_ball_clahe,0.7,0.0,424,-1
CP HEK293 (10),G_rolling_ball_clahe,0.7,1.0,319,-1
CP HEK293 (10),G_rolling_ball_clahe,0.7,2.0,237,-1
CP HEK293 (10),G_rolling_ball_clahe,0.8,-3.0,501,-1
CP HEK293 (10),G_rolling_ball_clahe,0.8,-2.0,511,-1
CP HEK293 (10),G_rolling_ball_clahe,0.8,-1.0,487,-1
CP HEK293 (10),G_rolling_ball_clahe,0.8,0.0,430,-1
CP HEK293 (10),G_rolling_ball_clahe,0.8,1.0,322,-1
CP HEK293 (10),G_rolling_ball_clahe,0.8,2.0,237,-1
CP HEK293 (10),G_rolling_ball_clahe,0.9,-3.0,551,-1
CP HEK293 (10),G_rolling_ball_clahe,0.9,-2.0,538,-1
CP HEK293 (10),G_rolling_ball_clahe,0.9,-1.0,493,-1
CP HEK293 (10),G_rolling_ball_clahe,0.9,0.0,430,-1
CP HEK293 (10),G_rolling_ball_clahe,0.9,1.0,326,-1
CP HEK293 (10),G_rolling_ball_clahe,0.9,2.0,240,-1
CP HEK293 (10),G_rolling_ball_clahe,1.0,-3.0,625,-1
CP HEK293 (10),G_rolling_ball_clahe,1.0,-2.0,553,-1
CP HEK293 (10),G_rolling_ball_clahe,1.0,-1.0,495,-1
CP HEK293 (10),G_rolling_ball_clahe,1.0,0.0,430,-1
CP HEK293 (10),G_rolling_ball_clahe,1.0,1.0,328,-1
CP HEK293 (10),G_rolling_ball_clahe,1.0,2.0,240,-1
CP HEK293 (11),A_raw_gray,0.2,-3.0,0,-1
CP HEK293 (11),A_raw_gray,0.2,-2.0,0,-1
CP HEK293 (11),A_raw_gray,0.2,-1.0,0,-1
CP HEK293 (11),A_raw_gray,0.2,0.0,0,-1
CP HEK293 (11),A_raw_gray,0.2,1.0,1,-1
CP HEK293 (11),A_raw_gray,0.2,2.0,0,-1
CP HEK293 (11),A_raw_gray,0.3,-3.0,0,-1
CP HEK293 (11),A_raw_gray,0.3,-2.0,0,-1
CP HEK293 (11),A_raw_gray,0.3,-1.0,0,-1
CP HEK293 (11),A_raw_gray,0.3,0.0,3,-1
CP HEK293 (11),A_raw_gray,0.3,1.0,2,-1
CP HEK293 (11),A_raw_gray,0.3,2.0,0,-1
CP HEK293 (11),A_raw_gray,0.4,-3.0,0,-1
CP HEK293 (11),A_raw_gray,0.4,-2.0,0,-1
CP HEK293 (11),A_raw_gray,0.4,-1.0,4,-1
CP HEK293 (11),A_raw_gray,0.4,0.0,5,-1
CP HEK293 (11),A_raw_gray,0.4,1.0,3,-1
CP HEK293 (11),A_raw_gray,0.4,2.0,0,-1
CP HEK293 (11),A_raw_gray,0.5,-3.0,0,-1
CP HEK293 (11),A_raw_gray,0.5,-2.0,2,-1
CP HEK293 (11),A_raw_gray,0.5,-1.0,8,-1
CP HEK293 (11),A_raw_gray,0.5,0.0,5,-1
CP HEK293 (11),A_raw_gray,0.5,1.0,3,-1
CP HEK293 (11),A_raw_gray,0.5,2.0,1,-1
CP HEK293 (11),A_raw_gray,0.6,-3.0,4,-1
CP HEK293 (11),A_raw_gray,0.6,-2.0,7,-1
CP HEK293 (11),A_raw_gray,0.6,-1.0,10,-1
CP HEK293 (11),A_raw_gray,0.6,0.0,6,-1
CP HEK293 (11),A_raw_gray,0.6,1.0,3,-1
CP HEK293 (11),A_raw_gray,0.6,2.0,1,-1
CP HEK293 (11),A_raw_gray,0.7,-3.0,8,-1
CP HEK293 (11),A_raw_gray,0.7,-2.0,12,-1
CP HEK293 (11),A_raw_gray,0.7,-1.0,10,-1
CP HEK293 (11),A_raw_gray,0.7,0.0,6,-1
CP HEK293 (11),A_raw_gray,0.7,1.0,3,-1
CP HEK293 (11),A_raw_gray,0.7,2.0,1,-1
CP HEK293 (11),A_raw_gray,0.8,-3.0,14,-1
CP HEK293 (11),A_raw_gray,0.8,-2.0,17,-1
CP HEK293 (11),A_raw_gray,0.8,-1.0,12,-1
CP HEK293 (11),A_raw_gray,0.8,0.0,6,-1
CP HEK293 (11),A_raw_gray,0.8,1.0,3,-1
CP HEK293 (11),A_raw_gray,0.8,2.0,1,-1
CP HEK293 (11),A_raw_gray,0.9,-3.0,30,-1
CP HEK293 (11),A_raw_gray,0.9,-2.0,23,-1
CP HEK293 (11),A_raw_gray,0.9,-1.0,12,-1
CP HEK293 (11),A_raw_gray,0.9,0.0,6,-1
CP HEK293 (11),A_raw_gray,0.9,1.0,3,-1
CP HEK293 (11),A_raw_gray,0.9,2.0,1,-1
CP HEK293 (11),A_raw_gray,1.0,-3.0,51,-1
CP HEK293 (11),A_raw_gray,1.0,-2.0,27,-1
CP HEK293 (11),A_raw_gray,1.0,-1.0,12,-1
CP HEK293 (11),A_raw_gray,1.0,0.0,6,-1
CP HEK293 (11),A_raw_gray,1.0,1.0,3,-1
CP HEK293 (11),A_raw_gray,1.0,2.0,1,-1
CP HEK293 (11),B_channel,0.2,-3.0,0,-1
CP HEK293 (11),B_channel,0.2,-2.0,0,-1
